##C:\ROMS\N64
0xE4B08007,0xA602FF33,0x50,0x02000000,0x0c,Perfect Dark,C:\ROMS\N64\Perfect Dark (E) (M5) [!].v64
0xE4B08007,0xA602FF33,0x50,0x02000000,0x0c,Perfect Dark,C:\ROMS\N64\Perfect Dark (E) [!].v64
0xEE08C602,0x6BC2D5A6,0x50,0x01000000,0x14,PGA European Tour Go,C:\ROMS\N64\PGA European Tour (E) (M5) [!].v64
0xEE08C602,0x6BC2D5A6,0x50,0x01000000,0x14,PGA European Tour Go,C:\ROMS\N64\PGA European Tour (E) [!].v64
0x2500267E,0x2A7EC3CE,0x45,0x02000000,0x0e,RIDGE RACER 64,C:\ROMS\N64\ridge_racer.v64
0x6FA4B821,0x29561690,0x00,0x00140000,0x00,,C:\ROMS\N64\rotate.v64
0x2500267E,0x2A7EC3CE,0x45,0x02000000,0x0e,RIDGE RACER 64,C:\ROMS\N64\RR64 - Ridge Racer 64 (U) [!].v64
0x07F3B276,0xEC8F3D39,0x45,0x01000000,0x10,South Park Rally,C:\ROMS\N64\South Park Rally (U) [!].rom
0x07F3B276,0xEC8F3D39,0x45,0x01000000,0x10,South Park Rally,C:\ROMS\N64\South_Park_Rally_(U)_[!].rom
0xA7D015F8,0x2289AA43,0x45,0x00c00000,0x09,STARFOX64,C:\ROMS\N64\Star Fox 64 (U) [f1].v64
0xDDD93C85,0xDAE381E8,0x45,0x00c00000,0x0c,STAR SOLDIER,C:\ROMS\N64\Star Soldier - Vanishing Earth (U) [!].n64
0xDDD93C85,0xDAE381E8,0x45,0x00c00000,0x0c,STAR SOLDIER,C:\ROMS\N64\StarSoldier.n64
0x635A2BFF,0x8B022326,0x45,0x00800000,0x0e,SUPER MARIO 64,C:\ROMS\N64\Super Mario 64 (U) (V1.0) [!].zip
0x635A2BFF,0x8B022326,0x45,0x00800000,0x0e,SUPER MARIO 64,C:\ROMS\N64\Super Mario 64 (U) [!].rom
0xA2E8F35B,0xC9DC87D9,0x45,0x00800000,0x08,SUPERMAN,C:\ROMS\N64\Superman_(U)_[!].v64
0x635A2BFF,0x8B022326,0x45,0x00800000,0x0e,SUPER MARIO 64,C:\ROMS\N64\supermario64u.rom
0x963ADBA6,0xF7D5C89B,0x4a,0x00800000,0x08,TETRIS64,C:\ROMS\N64\Tetris 64 (J) [b2].v64
0x4875AF3D,0x9A66D3A2,0x50,0x01000000,0x0b,Rainbow Six,C:\ROMS\N64\Tom Clancy's Rainbow Six (E) [h1] (cartname).v64
0x9F8926A5,0x0587B409,0x50,0x00c00000,0x14,TONY HAWK SKATEBOARD,C:\ROMS\N64\Tony Hawk's Pro Skater (E) [!].v64
0x7DE11F53,0x74872F9D,0x45,0x00800000,0x0c,WAVE RACE 64,C:\ROMS\N64\Wave Race 64 (U) (V1.0) [!].rom
0x7DE11F53,0x74872F9D,0x45,0x00800000,0x0c,WAVE RACE 64,C:\ROMS\N64\Wave_Race_64_(U)_(V1.0)_[!].rom
0x132D2732,0xC70E9118,0x45,0x00800000,0x0a,Wipeout 64,C:\ROMS\N64\Wipeout 64.v64
0xEC7011B7,0x7616D72B,0x45,0x02000000,0x13,THE LEGEND OF ZELDA,C:\ROMS\N64\zelda_ocarina.v64
